"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"4","7","1.15","0","15","150","true","18","1","18","24"
"6","7","1.15","0","15","150","true","19","1","35","49"
"3","7","1.15","0","15","150","true","17","1","14","25"
"5","7","1.15","0","15","150","true","19","1","42","62"
"1","7","1.15","0","15","150","true","22","1","53","69"
"2","7","1.15","0","15","150","true","18","1","38","52"
"7","7","1.15","0","15","150","true","23","1","125","141"
"8","7","1.15","0","15","150","true","16","1","9","23"
"10","7","1.15","0","15","150","true","21","1","51","64"
"12","7","1.15","0","15","150","true","22","1","100","113"
"11","7","1.15","0","15","150","true","20","1","73","91"
"9","7","1.15","0","15","150","true","24","1","121","134"
"16","7","1.15","0","15","150","true","17","0","4","3"
"13","7","1.15","0","15","150","true","23","1","91","118"
"14","7","1.15","0","15","150","true","18","1","26","41"
"17","7","1.15","0","15","150","true","19","1","39","66"
"15","7","1.15","0","15","150","true","22","1","124","144"
"19","7","1.15","0","15","150","true","18","1","25","40"
"18","7","1.15","0","15","150","true","24","1","58","82"
"20","7","1.15","0","15","150","true","24","1","133","143"
"22","7","1.15","0","15","150","true","18","1","25","42"
"21","7","1.15","0","15","150","true","15","1","1","5"
"25","7","1.15","0","15","150","true","19","1","46","79"
"23","7","1.15","0","15","150","true","17","1","13","20"
"24","7","1.15","0","15","150","true","25","1","141","148"
"27","7","1.15","0","15","150","true","15","1","1","7"
"26","7","1.15","0","15","150","true","22","1","66","85"
"30","7","1.15","0","15","150","true","23","1","128","142"
"32","7","1.15","0","15","150","true","21","1","73","99"
"28","7","1.15","0","15","150","true","23","1","129","141"
"31","7","1.15","0","15","150","true","22","1","121","132"
"33","7","1.15","0","15","150","true","21","1","67","98"
"29","7","1.15","0","15","150","true","21","1","42","56"
"37","7","1.15","0","15","150","true","19","1","40","63"
"34","7","1.15","0","15","150","true","21","1","50","67"
"35","7","1.15","0","15","150","true","24","1","68","86"
"36","7","1.15","0","15","150","true","18","1","26","40"
"41","7","1.15","0","15","150","true","16","1","7","18"
"38","7","1.15","0","15","150","true","21","1","107","127"
"40","7","1.15","0","15","150","true","18","1","24","36"
"39","7","1.15","0","15","150","true","24","1","141","149"
"43","7","1.15","0","15","150","true","24","1","121","134"
"44","7","1.15","0","15","150","true","18","1","26","34"
"42","7","1.15","0","15","150","true","20","1","66","82"
"47","7","1.15","0","15","150","true","17","1","14","23"
"45","7","1.15","0","15","150","true","19","1","50","65"
"49","7","1.15","0","15","150","true","16","1","7","18"
"48","7","1.15","0","15","150","true","24","1","121","142"
"46","7","1.15","0","15","150","true","26","1","86","110"
"53","7","1.15","0","15","150","true","21","1","62","81"
"51","7","1.15","0","15","150","true","22","1","128","143"
"56","7","1.15","0","15","150","true","17","1","11","18"
"52","7","1.15","0","15","150","true","19","1","57","69"
"54","7","1.15","0","15","150","true","25","1","53","60"
"50","7","1.15","0","15","150","true","22","1","106","132"
"55","7","1.15","0","15","150","true","20","1","32","44"
"57","7","1.15","0","15","150","true","20","1","65","90"
"61","7","1.15","0","15","150","true","15","1","1","8"
"58","7","1.15","0","15","150","true","23","1","92","119"
"60","7","1.15","0","15","150","true","22","1","88","113"
"59","7","1.15","0","15","150","true","24","1","104","114"
"64","7","1.15","0","15","150","true","20","1","82","99"
