"BehaviorSpace results (NetLogo 6.0.4)"
"Übung04.nlogo"
"experiment"
"12/10/2018 14:18:36:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","antenna_dB","probing_range","relay-only","sensing_range","total_nodes","start-msg-tick","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"1","7","0","true","7","150","13","27","1","150","1328"
"3","7","0","true","7","150","13","27","1","150","1272"
"2","7","0","true","7","150","13","28","1","150","1320"
"4","7","0","true","7","150","13","28","1","150","1406"
"5","7","0","true","7","150","13","28","1","150","1470"
"6","7","0","true","7","150","13","28","1","149","1323"
"7","7","0","true","7","150","13","27","1","149","1481"
"8","7","0","true","7","150","13","28","1","150","1346"
"10","7","0","true","7","150","13","26","1","147","1415"
"9","7","0","true","7","150","13","29","1","150","1352"
"11","7","0","true","7","150","13","27","1","150","1350"
"12","7","0","true","7","150","13","27","1","146","1344"
"13","7","0","true","7","150","13","27","1","150","1346"
"14","7","0","true","7","150","13","26","1","149","1389"
"15","7","0","true","7","150","13","28","1","148","1376"
"16","7","0","true","7","150","13","27","1","150","1372"
"17","7","0","true","7","150","13","27","1","150","1306"
"18","7","0","true","7","150","13","26","1","149","1321"
"19","7","0","true","7","150","13","28","1","150","1360"
"22","7","0","true","7","150","13","28","1","150","1356"
"20","7","0","true","7","150","13","27","1","150","1404"
"23","7","0","true","7","150","13","26","1","147","1435"
"21","7","0","true","7","150","13","26","1","150","1394"
"25","7","0","true","7","150","13","26","1","150","1292"
"24","7","0","true","7","150","13","26","1","148","1498"
"27","7","0","true","7","150","13","28","1","150","1446"
"26","7","0","true","7","150","13","28","1","150","1338"
"29","7","0","true","7","150","13","26","1","150","1360"
"28","7","0","true","7","150","13","27","1","150","1348"
"30","7","0","true","7","150","13","26","1","150","1316"
"31","7","0","true","7","150","13","27","1","150","1326"
"32","7","0","true","7","150","13","25","1","150","1374"
"33","7","0","true","7","150","13","27","1","150","1440"
"34","7","0","true","7","150","13","26","1","149","1347"
"35","7","0","true","7","150","13","28","1","148","1472"
"37","7","0","true","7","150","13","26","1","148","1370"
"36","7","0","true","7","150","13","27","0","147","1385"
"38","7","0","true","7","150","13","26","1","149","1327"
"39","7","0","true","7","150","13","26","1","150","1440"
"41","7","0","true","7","150","13","28","1","150","1422"
"40","7","0","true","7","150","13","29","1","150","1386"
"42","7","0","true","7","150","13","26","1","149","1401"
"43","7","0","true","7","150","13","26","1","146","1360"
"45","7","0","true","7","150","13","30","1","147","1265"
"44","7","0","true","7","150","13","27","1","149","1297"
"46","7","0","true","7","150","13","26","1","149","1323"
"47","7","0","true","7","150","13","26","1","148","1394"
"49","7","0","true","7","150","13","26","1","148","1510"
"48","7","0","true","7","150","13","26","1","150","1344"
"50","7","0","true","7","150","13","27","1","150","1398"
"51","7","0","true","7","150","13","28","1","150","1218"
"53","7","0","true","7","150","13","25","0","143","1411"
"52","7","0","true","7","150","13","27","1","150","1380"
"55","7","0","true","7","150","13","26","1","150","1362"
"54","7","0","true","7","150","13","26","1","150","1230"
"56","7","0","true","7","150","13","26","1","150","1412"
"57","7","0","true","7","150","13","26","1","150","1360"
"58","7","0","true","7","150","13","27","1","150","1488"
"60","7","0","true","7","150","13","26","1","150","1350"
"59","7","0","true","7","150","13","27","1","150","1318"
"61","7","0","true","7","150","13","27","1","150","1350"
"62","7","0","true","7","150","13","28","1","150","1308"
"64","7","0","true","7","150","13","28","1","146","1292"
"63","7","0","true","7","150","13","28","1","145","1435"
"65","7","0","true","7","150","13","29","1","150","1280"
"66","7","0","true","7","150","13","26","1","142","1386"
"67","7","0","true","7","150","13","27","1","141","1307"
"68","7","0","true","7","150","13","27","1","145","1363"
"69","7","0","true","7","150","13","26","1","150","1366"
"70","7","0","true","7","150","13","26","1","150","1480"
"72","7","0","true","7","150","13","25","1","150","1388"
"71","7","0","true","7","150","13","27","1","148","1456"
"73","7","0","true","7","150","13","26","1","150","1392"
"74","7","0","true","7","150","13","25","1","150","1314"
"77","7","0","true","7","150","13","14","0","1","1"
"75","7","0","true","7","150","13","27","1","150","1402"
"76","7","0","true","7","150","13","24","1","147","1359"
"79","7","0","true","7","150","13","27","1","150","1312"
"80","7","0","true","7","150","13","26","1","150","1390"
"78","7","0","true","7","150","13","30","1","150","1394"
"81","7","0","true","7","150","13","27","1","150","1338"
"83","7","0","true","7","150","13","28","1","150","1330"
"82","7","0","true","7","150","13","26","1","150","1372"
"84","7","0","true","7","150","13","28","1","150","1404"
"85","7","0","true","7","150","13","26","1","150","1298"
"86","7","0","true","7","150","13","26","1","150","1362"
"87","7","0","true","7","150","13","27","1","150","1388"
"88","7","0","true","7","150","13","27","1","150","1504"
"89","7","0","true","7","150","13","27","1","150","1380"
"90","7","0","true","7","150","13","28","1","148","1288"
"92","7","0","true","7","150","13","26","1","150","1420"
"91","7","0","true","7","150","13","27","1","150","1318"
"93","7","0","true","7","150","13","26","1","150","1300"
"94","7","0","true","7","150","13","28","1","149","1251"
"96","7","0","true","7","150","13","28","1","150","1430"
"95","7","0","true","7","150","13","27","1","147","1421"
"97","7","0","true","7","150","13","27","1","150","1320"
"98","7","0","true","7","150","13","26","1","147","1353"
"99","7","0","true","7","150","13","25","1","150","1370"
"100","7","0","true","7","150","13","16","0","2","4"
"101","7","0.05","true","7","150","13","28","1","148","1368"
"102","7","0.05","true","7","150","13","27","1","149","1304"
"104","7","0.05","true","7","150","13","26","1","149","1483"
"103","7","0.05","true","7","150","13","29","1","150","1342"
"105","7","0.05","true","7","150","13","27","1","145","1324"
"108","7","0.05","true","7","150","13","28","1","148","1343"
"106","7","0.05","true","7","150","13","27","1","146","1370"
"107","7","0.05","true","7","150","13","27","1","149","1276"
"112","7","0.05","true","7","150","13","25","1","149","1402"
"110","7","0.05","true","7","150","13","27","1","148","1270"
"111","7","0.05","true","7","150","13","26","1","147","1373"
"109","7","0.05","true","7","150","13","26","1","149","1400"
"113","7","0.05","true","7","150","13","27","1","148","1246"
"114","7","0.05","true","7","150","13","26","1","147","1318"
"116","7","0.05","true","7","150","13","28","1","150","1310"
"115","7","0.05","true","7","150","13","28","1","145","1362"
"118","7","0.05","true","7","150","13","25","1","148","1333"
"117","7","0.05","true","7","150","13","26","1","146","1334"
"119","7","0.05","true","7","150","13","26","1","148","1481"
"120","7","0.05","true","7","150","13","28","1","149","1308"
"122","7","0.05","true","7","150","13","26","1","145","1407"
"123","7","0.05","true","7","150","13","27","1","148","1327"
"121","7","0.05","true","7","150","13","28","1","148","1414"
"124","7","0.05","true","7","150","13","29","1","148","1340"
"125","7","0.05","true","7","150","13","29","1","139","1179"
"126","7","0.05","true","7","150","13","27","1","147","1348"
"127","7","0.05","true","7","150","13","30","1","147","1495"
"128","7","0.05","true","7","150","13","27","1","150","1386"
"130","7","0.05","true","7","150","13","28","1","146","1271"
"129","7","0.05","true","7","150","13","26","1","146","1359"
"131","7","0.05","true","7","150","13","26","1","147","1307"
"132","7","0.05","true","7","150","13","29","1","147","1429"
"133","7","0.05","true","7","150","13","27","1","140","1317"
"134","7","0.05","true","7","150","13","28","1","147","1295"
"135","7","0.05","true","7","150","13","26","1","147","1354"
"136","7","0.05","true","7","150","13","28","1","147","1546"
"137","7","0.05","true","7","150","13","30","1","150","1312"
"138","7","0.05","true","7","150","13","27","1","149","1489"
"140","7","0.05","true","7","150","13","27","1","150","1278"
"139","7","0.05","true","7","150","13","28","1","150","1400"
"141","7","0.05","true","7","150","13","26","1","146","1435"
"142","7","0.05","true","7","150","13","27","1","148","1277"
